source_id,source_type,jurisdiction,source_url,source_capture_utc,permit_or_record_id,record_status,record_date,project_address,project_city,project_state,contractor_name_raw,description_raw
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912173019,issued,12/31/19,2911 CLYDEDALE DR,Dallas,TX,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027",SEWER RELAY
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912314001,issued,12/31/19,5118 N HALL ST,Dallas,TX,"QUICK ROOFING LLC 925 E kennedale Parkway, Kennedale, TX 76060 (817) 477-0999",REMOVE EXISTING ROOF AND INSTALL NEW ROOF
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311041,issued,12/31/19,2619 MADERA ST,Dallas,TX,"JOHN OWEN RENOVATIONS LLC 5729 LEBANON RD #144-317, FRISCO, TX 75034 (972) 689-9622",INTERIOR / EXTERIOR REMODEL
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912271020,issued,12/31/19,660 JONELLE AVE,Dallas,TX,"GUEL FAMILY BUILDERS INC 718 E WOODIN, DALLAS, TX 75216 (214) 573-3077",CONSTRUCT NEW SFD
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912313017,issued,12/31/19,11352 LIPPITT AVE,Dallas,TX,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027",REMODEL EXISTING PLUMBING
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912313020,issued,12/31/19,2001 BRYAN ST Ste:4000,Dallas,TX,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027",INSTALL WATER HEATER
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912241082,issued,12/31/19,4229 MUNGER AVE,Dallas,TX,REKJ BUILDERS LLC,DEMO SFD
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912313026,issued,12/31/19,3232 LOVE FIELD DR,Dallas,TX,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027",INSTALL WATER HEATER
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311043,issued,12/31/19,4231 MUNGER AVE,Dallas,TX,REKJ BUILDERS LLC,DEMO SFD
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311036,issued,12/31/19,2223 SINGLETON BLVD Ste:116,Dallas,TX,"BARNETT SIGNS INC \4250 ACTION DR, MESQUITE, TX 75150 /9726818800",ERECT ATTACHED SIGN
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912313019,issued,12/31/19,4117 THROCKMORTON ST,Dallas,TX,"CRAWFORD SERVICES 1405 Ave T, Grand Prairie, TX 75050 (817) 869-9033",REPLACE OR MODIFY EXISTING HVAC
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311010,issued,12/31/19,9562 LAKEMONT DR,Dallas,TX,A A CONSTRUCTION,DEMO SFD
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912313036,issued,12/31/19,3209 SUNNYVALE ST,Dallas,TX,"MR ELECTRIC OF WEST FORT WORTH 1169 N BURLESON BLVD, BURLESON, TX 76028 (817) 244-7200",ELECTRICAL REPAIRS
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1902131109,issued,12/31/19,2075 S BUCKNER BLVD,Dallas,TX,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583",NEW CONSTRUCTION STORE WITH FUEL SALES.
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311066,issued,12/31/19,2600 ARROYO AVE,Dallas,TX,"DALLAS ELECTRIC COMPANY P O BOX 210368, DALLAS, TX 75211 (214) 339-9306",REPLACE MAIN EXTERIOR DISCONNECT
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311038,issued,12/31/19,2223 SINGLETON BLVD Ste:116,Dallas,TX,"BARNETT SIGNS INC \4250 ACTION DR, MESQUITE, TX 75150 /9726818800",ERECT ATTACHED SIGN
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311075,issued,12/31/19,7040 HILLWOOD LN,Dallas,TX,", , () -",INSTALL FENCE
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912243012,issued,12/31/19,4605 CEDAR SPRINGS RD,Dallas,TX,"BENJAMIN FRANKLIN PLUMBING 1444 N Central Expressway, MCKINNEY, TX 75070 (972) 562-1776",INSTALL WATER HEATER
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311055,issued,12/31/19,10110 BETTY JANE LN,Dallas,TX,"NORTH TEXAS FUTURE FENCE 4557 STATEN ISLAND CT, PLANO, TX 75024 (972) 985-4261",INSTALL FENCE
dallas_permits,permit,"Dallas, TX",https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,1912311035,issued,12/31/19,6211 LAKESHORE DR,Dallas,TX,"GREGG CONSTRUCTION COMPANY 1236 Southridge Court, Ste 101, HURST, TX 76053 (817) 268-0000",REPAIR FIRE DAMAGE NO STRUCTURAL CHANGES ALLOWED UNDER THIS PERMIT
